YEAR,WEEK,% WEIGHTED ILI,REGIONAL ILI BASELINE,Precip,Temp,Temp_off
2010,13,7.831681713,1.2,17.09505821,-19.4501721,7.045600726
2010,14,6.865783053,1.2,18.50712442,-17.8613247,3.496805926
2010,15,5.974734405,1.2,27.03958308,-8.256302167,7.653461336
2010,16,5.163505249,1.2,17.66445399,-15.58018262,-5.350246584
2010,17,4.431612876,1.2,17.83307864,-12.36822962,-7.966949448
2010,18,3.776401598,1.2,23.82536125,-2.400498194,-3.891905115
2010,19,3.194604048,1.2,17.66427282,-3.785133607,-11.14753016
2010,20,2.682838492,1.2,22.17839246,6.112267225,-7.014008448
2010,21,2.237564003,1.2,13.80741214,3.487517566,-15.21167196
2010,22,1.854855441,1.2,17.87023285,13.38346955,-10.61659202
2010,23,1.530217343,1.2,11.5624175,12.70773922,-16.24403381
2010,24,1.258539507,1.2,-4.621634287,1.676224496,-31.8060603
2010,25,1.034209882,1.2,-2.0130466,8.709399988,-28.81628556
2010,26,0.851344507,1.2,9.841509834,24.06055805,-16.96259254
2010,27,0.70406964,1.2,6.453996362,23.10435717,-20.81944051
2010,28,0.586792805,1.2,-1.41823404,16.53287995,-29.65254732
2010,29,0.49441788,1.2,-2.085375712,16.04616917,-31.72896728
2010,30,0.422483635,1.2,11.74428279,29.01906884,-19.65072878
2010,31,0.367226664,1.2,4.992063378,20.52047565,-28.33591931
2010,32,0.325583648,1.2,20.86813196,33.95901301,-14.37320078
2010,33,0.295153911,1.2,23.62210872,33.81613688,-13.2887432
2010,34,0.274143131,1.2,10.24680102,17.32990848,-27.86234098
2010,35,0.261305678,1.2,15.66602774,19.66209438,-22.96005313
2010,36,0.255898845,1.2,15.43359418,16.57740354,-22.85456133
2010,37,0.257658797,1.2,26.08043685,24.77354279,-10.89457057
2010,38,0.26718074,1.2,16.52509538,13.27868079,-18.10666991
2010,39,0.284511545,1.2,12.19597117,7.565863146,-19.08012074
2010,40,0.310992943,1.4,31.0782194,25.5978674,4.078904639
2010,41,0.3486672,1.4,23.92851141,18.04588148,1.967004631
2010,42,0.400479492,1.4,20.41317437,14.43715252,4.032282235
2010,43,0.470556903,1.4,10.15545502,4.21651613,-0.362974206
2010,44,0.564578721,1.4,10.52667453,4.555331619,5.86784513
2010,45,0.690246363,1.4,10.99330376,4.718311243,11.90373373
2010,46,0.857843028,1.4,-0.768222896,-7.801648749,5.152146892
2010,47,1.080832663,1.4,3.381574021,-5.011840144,13.52187267
2010,48,1.376369502,1.4,4.0064682,-6.443028824,17.40096677
2010,49,1.765454212,1.4,11.55039738,-1.682552728,27.12483554
2010,50,2.272266352,1.4,7.093332433,-9.61282932,23.7388525
2010,51,2.921941262,1.4,11.86009794,-8.902838663,28.50792575
2010,52,3.735841402,1.4,8.355755768,-16.87898683,24.04659637
2011,1,4.723458854,1.4,4.746244684,-25.15616847,18.68883501
2011,2,5.87095317,1.4,11.49343449,-23.01891849,23.10763409
2011,3,7.12850984,1.4,7.734854786,-31.06105743,16.67598036
2011,4,8.4021291,1.4,23.31143476,-19.17888746,29.47414182
2011,5,9.55828006,1.4,27.88111259,-17.47833736,31.38286352
2011,6,10.448034,1.4,21.95458117,-25.25805796,23.1004661
2011,7,10.9475296,1.4,18.05201417,-29.86804838,17.28426354
2011,8,10.99783075,1.4,28.23960924,-19.18369053,26.07642229
2011,9,10.62211188,1.4,22.51971215,-23.2205402,19.48891488
2011,10,9.910611165,1.4,18.16566715,-24.79831464,14.73913186
2011,11,8.984612306,1.4,23.38943304,-15.86613006,19.92410439
2011,12,7.960644243,1.4,11.24371596,-23.58783153,7.93450306
2011,13,6.929170123,1.4,17.88661449,-12.06046285,14.73537485
2011,14,5.949232612,1.4,5.100801324,-19.77525818,1.90424819
